Place Name	Primary Description – Usually helps find location	Secondary Description – Often notes, sometiems helps find location	Dates
Poureatua (Poureetua)	One hour’s walk to East Cape	Not now so named, but Bagnall & Petersen ( p. 66) show Poureatua on what is now Haumai Beach	17 Jan 38; 25 Nov 41
Poutu		On the eastern shore of Lake Rotoaira, the small lake south of Lake Taupo	It is presumably the same village mentioned on 18-19 Feb 47; 29 Nov-1 Dec 49
Poututu		Possibly to be equated with Potua Stream, three miles east of the Waihua River in northern Hawke’s Bay. A feature, Potutu, is marked three to four miles inland	30-31 Jul, 16 Aug 45
Poverty Bay			26-29 Jan 38; 10-20 Dec 41; 24 Dec 44; 6-13 Aug 45
Pua		On the Kawakawa River, downstream (?) from Otuihu. Presumably the modern Opua	28 Aug 36; 27 Jan 39
Puehutai		Puehutai was on the Manawatu, just before the loop opposite Oringi (Bagnall & Petersen, p.233n) (a few miles south of Dannevirke)	2 Apr, 29-30 Sep 46; 29 Mar-1 Apr 47; 3 Mar, 1-4 Apr, 23-27 Nov 48 14-16 Mar 49; 6-9 Apr 50; 21-22 May 51; 18-22 Mar 52
Puhangina River		The Pohangina River flows south along the western foothills of the Ruahine Range to join the Manawatu	29 Nov 48
Pukaki		Pukaki Creek reaches Manukau Harbour at the eastern end of the runway of Mangere Airport	4 Feb 44
Pukatea	Waikato River	Not located	28 Jan 42
Te Puke (Tepuke)	Now a trig station and lookout point in the Waitangi (State Forest) National Reserve, Bay of Islands		5, 12 Jul 35
Pukehore		On the coast between Tolago Bay and Gable End Foreland	25 Jan 38
Pukekura Hill	Pukekura, nr. Eparaima	To the west of the Waipukurau – Porangahau Road, a short distance north of Wanstead	21 Apr 45
Pukemaire		Pukemaire was on the west bank of the Waiapu River, slightly north by west of the present-day Port Awanui (Bagnall & Petersen, p.161n)	25-26 Oct 43
Pukeokui	Ẁangarei	Not located but would appear to have been southwest of Whangarei, 1½ hours from the Wairua River. This may have been in the vicinity of Waiotama on Highway 14	22-23 Feb 36
Puke Taramea		A prominent knob on the western ridge of the Ruahine Range adjacent to the Mokai Patea Ridge	27-28 Oct 51; 24-25 Feb 52
Puketere	A small hill … Hukatere, about a third of the way north on Ninety Mile Beach	The spelling, Pukatere, appears on the Geological Sketch Map of the Northern District of … Auckland, 1866	
Puketona		Bagnall & Petersen ( p. 38) show it at the junction of the Waiaruhe and Waitangi Rivers, Bay of Islands	10 Jan 36
Te Puku		Te Puku is a headland a short distance south of Waimarama	8 Dec 43
Tepukuotokotahu	the next village (after Hinukuku of the Waiomio valley)		Numerous visits are mentioned between September 1836 and October 1839
Te Pukurua		Arrowsmith’s 1850 map marks Pukurua on the west bank of the Waimana River in an angle where the river’s course changes from northerly to westerly. Bagnall & Petersen ( p. 66) show it in the approximate position of modern Waimana	16-17 Jan 44
Te Puna (Tepuna)	… was situated to the north of the Kerikeri Inlet, close to the site of the old mission station at Rangihoua	(Bagnall & Petersen, p.144n)	23-25 Jul 36; 17 Mar 40
Te Puna		On the southern shore of Tauranga Harbour, west of Te Papa Station	26-27 Jan 44
Punaruku (Penaruku)	On the road past Whangaruru Harbour		23 Dec 39; 11 Oct 41
Punakitere River		Punakitere River flows northeast before turning east at Ngapuhi south of Kaikohe	2-? Jun 36
Pungakoikoi		Presumably Kahokawa Beach at the northern end of Ninety Mile Beach	30 Mar -1 Apr 39
Pupuaruhe		The pa on the west bank of the Whakatane River near the mouth	20-22 Jan 44
Putauaki		Mt Edgecumbe, to the west of the Rangitaiki River, near Kawerau	22 Jan 44
Te Ranga (The Ranga)	The high point, 1034 feet, on the ridge between Waikare and Whangaruru		11 Oct 41; 21 Feb 42
Te Rangaataneiti		Te Rangaataneiti is on the ridge bounded by the Mahakirua and Waiawa Streams, between Maungapohatu and the Whakatane River	10 Jan 44
Rangaunu River		Rangaunu Harbour, the large, mangrove-filled tidal inlet north of Kaitaia	3-4 Apr 39
Rangitaike River		The Rangitaiki River, one of the main rivers of the Bay of Plenty. Although not mentioned in the Journal, the list of September 1847 mentions the headwaters to the east of Lake Taupo. Colenso thus encountered the river at its middle reaches (1842), its mouth (1844), and its headwaters (Feb. 1847)	6 Jan 42; 3 Jan 44; Feb 47
Rangitikei River		Flows southwards from the Kaimanawa Range	24 Feb 47; 2-6 Dec 48; 23 Nov 49; 18 & 25 Oct 51; 18-19 Feb 52
Rangitoto		A village very near Mokorau on the shore of Ahipara Bay at the southern end of Ninety Mile Beach	26 Mar 39
Rangitukia		Near the mouth of the Waiapu Valley, East Cape	17-20 Jan 38; 26-29 Nov 41; 21-23 Oct 43
Rangiwakaaitu Lake		Lake Rerewhakaaitu, the southernmost of the Rotorua lakes. The published versions appear to be errors, as the original spelling was Rerewakauitu	6-7 Jan 42
Rangiẁakaoma (Rangiwakaoma)	Castle Point, on the Wairarapa Coast		15 Nov 43; 13-14 Oct 47; 1 Nov 48; 12-14 Mar 50
Raparapahoe		Ninety Mile Beach, south of Arai, 3½-4 hours’ march from Arai	29 Mar, 2 Apr 39
Ratoreka		Later referred to as Cook’s place it being the residence of a man named Cook, formerly in the employ of the mission. One of the villages near the mission station at Paihia, Bay of Islands	Mentioned several times between February 1835 and July 1839
Ratu	about ½ a mile distant (from Pihoi, Whangarei)		10 Dec 39
Raukawa		Now a road junction southwest of Hastings and west of the Raukawa Range	15-16 Sep, 27-28 Dec 47
Rauporua (Rauporoa)	a village about 2 miles distant (from Kawakawa, Bay of Islands)	Not located	14 Oct, 30 Dec 38
Cape Reinga			31 Mar 39
Te Reinga		Te Reinga is at the junction of the Hangaroa and Ruakituri Rivers, the main branches of the Wairoa River, northern Hawke’s Bay	21-22 Dec 41
Te Reke Manuka		Rekemanuka is marked on Arrowsmith’s 1850 map on the east bank of the Rangitaiki River, and would have been slightly north of modern Te Mahoe	22 Jan 44
Reporua		Reporoa of modern maps, on the coast south of the Waiapu River mouth	20-21 Jan 38; 26 Oct 43
Rimariki Island Off the south head of Whangaruru Harbour			27 Sep 39
Rimuroa rivulet	nr. Waiohingaanga River	Not located	
Ripo		From Colenso’s description, this could have been near the falls on the Wairua River, near Whangarei, but the name has not been located	24-25 Feb 36
Rongoakiwa	road between Te Waipukurau and Te Witi	From the list of July 1846 Not located and not mentioned in the Journal	
Rotoaira		The small lake to the south of Lake Taupo, lying between Pihonga and Tongariro Mountains. It now forms part of the Tongariro Power Scheme. The village mentioned by Colenso is presumably Poutu (q.v.)	18-19 Feb 47; [29 Nov-1 Dec 49]
Te Rotoakiwa (Te Roto-a-kiwa lake)	Te Roto o kiwa lake is close to the Napier-Wellington highway	The railway line crosses it	13 Jul 52
Te Rotoatara Lake		Drained in 1888 by Rev. S. Williams (Bagnall & Petersen, p.208n). It is now marked by a swampy area lying south of a line drawn from Otane to Patangata	4-5, 12-13 Feb, 23 Sep 45; 29 Jan 46; 13-14 Jan, 16 Dec 48
Te Rotoatara village	On an island in Te Rotoatara Lake		23 Sep 45; 12-13 Jan, 13-15 Sep 47; 12-15 Jul 50
Rotokura	A pool near Te Hawera		Mentioned in the list of 31 January 1853, but not located
Rotorua		On a specimen, Nephrodium hispidum (WELT p.2603) in the bound volume of ferns. In this context, Colenso probably used Rotorua to refer to the lake rather than the modern town	The date would be from 8 to 12 January, 1842
Ruahine range		That part of the North Island mountain range stretching from the Manawatu Gorge north to the Taihape-Napier highway	8-10 Feb 45; 24-26 Feb, 31 Dec 47; 8-11 Jan, 27-29 Nov, 13-14 Dec 48; 13-14 Dec 49; 16-17, 27-28 Oct 51; 24-26 Feb 52
Te Ruaakauia River	Forest beyond Te Hawera village	From the list of September 1847 Not located nor mentioned in the Journal	
Ruatoki	near R. Wakatane The modern Ruatoki (North)		
Te Ruakaka	Ẁangarei Bay	On Bream Bay, about five miles south of Marsden Point, Whangarei harbour	16 Feb 42 Also mentioned in the list of 19 November 1844
Ruakituri River		The western branch of the Wairoa River, northern Hawke’s Bay	22 Dec 41
Ruamahanga River		Rises in the northeast Tararua Ranges and after flowing the length of the Wairarapa Valley enters Lake Wairarapa at the southeast corner before again flowing out to Lake Onoke at the coast. (24 Mar 45 as Wairarapa River)	4-5, 9 Apr 45; 24 Mar 46; 7 Apr, 8, 15 Nov 47; 11-12 Apr, 20-21 Nov 48; 22 Mar, 19 Apr 49; 25 Mar 52
Ruapehu (Ruapahu)	Referred to in the list of June 1850	Colenso skirted the eastern base of this, the highest of the volcanic chain southwest of Lake Taupo	
Ruatahuna (hill)		The ridge to the east of the Ruatahuna Valley, Urewera	28 Dec 43
Ruatahuna		Arrowsmith’s 1850 map shows Ruatahuna as a hill and a stream, but not as a village. Colenso, however, clearly refers to a village, as well as a district. He placed the village about 4 miles from Mangatepa which would correspond with the present settlement of Ruatahuna	1-3 Jan 42
Te Ruataniẁa	3 miles from Pipi downstream on the east side of the Whakatane River		9 Jan 44
Te Ruataniẁa (village - Wairarapa)		Not located, but a morning’s travel north from Te Kaikokirikiri (Masterton). The location is possibly between Masterton and Mt Bruce. In the list of September 1847 it is mentioned as being at the head of the Wairarapa Valley. This is possibly the plantation Te Rua-o-Te-Taniwha near Te Kaikokirikiri mentioned by Bagnall (1954, p.4)	12 May 51
Te Ruataniẁa Plain		Now known as the Takapau Plains (Bagnall & Petersen, p.208n). The low-lying area northwest from Waipawa to the base of the Ruahine Range and traversed by the Waipawa, Tukituki and Tukipo (Avoca) Rivers. Ruataniwha township (Te Ruataniẁa of Colenso) is a short distance west of Waipawa	5-7, 11 Feb 45; 27 Feb-1 Mar, 29 Dec 47; 30 Oct 51
Ruaatoki (Ruatoki)	Ruatoki on the Whakatane River		16, 18-20 Jan 44
Te Ruaẁakatorou		Arrowsmith’s 1850 map shows this on the east bank of the Waimana River, Bay of Plenty	17 Jan 44
Runanga		A locality 36 miles southeast from Taupo near where the Waipunga River is first crossed by the Taupo-Napier Road	Referred to in the list of Jun 1850 but not mentioned in the Journal
Schinde Island	Napier Now known as Bluff Hill, formerly Mataruahou, the hill overlooking Napier and Ahuriri Harbour		
Table Cape		On the east side of Mahia Peninsula, northern Hawke’s Bay	2 Nov 43, but no landing
Te Taha		A village on the western shore of Ahuriri Lagoon	12 Dec 43
Te Taheke		Te Taheke was situated on the eastern side of Poukawa Lake. (Bagnall & Petersen, p.232n)	4 Feb 45; 29-30 Jan 46
Tahora		A deserted village, scene of a massacre, a short distance N. of Wananake	
Tauwhara Bay on the coast north of Whananaki Inlet is presumably the same place			22-23 Sep, 7-8 Oct 41
Tahunaroa		Colenso describes this as on the east bank of the Whakatane, near Papakowatu, (a short distance downstream from the Waimana confluence)	20 Jan 44
Taiamai (Taeamai)	Cowan (1922 - vol-1 p.38) shows Taiamai about halfway between Waimate and Ohaeawai, Bay of Islands	The European township which has appropriated the name (Ohaeawai) should properly be known as Toiamai (Cowan, s. c. p.68)	5 Feb 37; 19 Aug 38
Taihoata River		A misspelling for Kaihoata	
Taika		Otaika is about four miles south of Whangarei	12-14 Dec 39; 20 Jul 41
Taikumikumi		This was on the Kawakawa River, Bay of Islands, between Opaohu and Kawakawa, about half a mile from the latter, and may have been Colenso’s customary landing place for his regular missionary visits to Kawakawa and Waiomio	10 Oct 40; 17 Jan 41
Takamaitua	Between Cape Turnagain & Castle Point	Takamaitua was a creek one hour forty minutes south of Pakuku and would therefore be about halfway between Tautane and Akitio. (Bagnall & Petersen, p.217n)	Mentioned in the list of July 1846
Te Takapau		Te Takapau was situated on the Ruatahuna Stream, not far south of Te Umuroa, Urewera. (Bagnall & Petersen, p.176) Arrowsmith’s 1850 map shows Te Takapau on a stream below a mountain Pukehuia, presumably Whakataka	
Te Takapau	A small village on Pahawa River	Takapau is on the deep bend of the Pahaoa River at the confluence of the Waitetuna Stream just north of Hinekura	19-20 Apr 48; 19-20 Mar 50
Takou		Takou Bay, north of the Bay of Islands	11 Apr 39
Tamaki Creek		River Thames	Jan 43
Tamaki River	Auckland	In 1843, the Firth of Thames included the Hauraki Gulf	The locality occurs on a specimen of Gymnogramme leptophylla at WELT and is also mentioned in the list of 10 May 1843
Tamoki River (Tamaki)	The Tamaki River flows south of Tahoraiti to join the Manawatu by the rifle range at the end of the Totaramahanga Road, a few miles south of Dannevirke		17-18 Mar 52
Tamatarau		Tamaterau, on the north shore of Whangarei Harbour east of Onerahi Peninsula. It was here that Colenso found the Tamil Bell	29-30 Sep-1, 2 & 4 Oct 41; 16-17 Feb,?Oct 42
Te Tamumu		On the Tukituki River east of the confluence with the Waipawa	24-25 Mar 48; 12-13 Apr 50; 14-20 Jul, 20-23 Aug 52
Tanenuiarangi		site of house now under freezing works (Buchanan p.161) (on the present site of Hastings)	1 Mar 45; 26 Jan 47; 8 Mar 49
Tangiteroria	Mr Buller’s Station	On the Wairoa River, Northland, on the Dargaville-Whangarei Road and the site of Buller’s Wesleyan Mission. Not mentioned by name by Colenso	11-12 Feb 44
Tangoiro		An hour’s march north of Waihirere Waterfall, (between Mawhai Point and Anaura Bay)	
Tangoio		(Lagoon and River) On the coast of Hawke’s Bay, 14 miles north from Napier	15 Jun, 24-25 Jul 45; 5-7 Jan, 4-8 Jun, 25 & 27-30 Nov 46; 15-16 & 18-21 Jun, 28 Aug-1 Sep 47; 9-10 & 12-15 Feb, 10-14 Aug, 14-16 Oct 48; 20-23 Jan, 15-18 Jun 49; 12-14 Jan, 10-15 May, 18-21 Jun, 11-14 Oct, 21-23 Dec 50; 3-5 Mar, 4-5 Jun, 29-30 Jul, 29-30 Sep, 1-2 Oct, 10-11 & 13 Nov 51; 27 & 30 Jan, 7-9 Jun, 12-13 & 24-26 Aug 52
Tapatahi		Inland from Waipiro (Open) Bay, East Coast. Arrowsmith’s 1850 map indicates it on the high land between Waipiro and Tokomaru Bays	22 Jan 38; 2 Dec 41
Tapere	About 8 miles from the (Paihia) Station	On the way to Waikare, but not located	18 Sep 36; 1 Jan, 10 Sep 37; 25 Mar 38; 13 Jan 39
Tapiri		Described by Colenso (Papers I, p.95) as the pa of the profess(in)g Chr(istian) Natives of Matamata and about a mile distant, (close to Waharoa), Thames Valley	20-21 Jan 42; 27-29 Jan 44
Tapuaeharuru	Plains head of Wairarapa Valley	Not located nor mentioned in the Journal	
Tapuata Forest	R. Manawatu	This name is preserved as a locality in Dannevirke County, a railway siding between Dannevirke and Woodville. Formerly called Tamaki according to Dollimore	Mentioned by Colenso in the list of 31 January 1853
Tarare		On the east bank of the Rangitikei north of the Kawhatau junction (Bagnall & Petersen, p.292n). Colenso states that he followed the west bank	5 Dec 48
Tararua Range		The southern end of the central North Island mountain chain, from the Manawatu Gorge southwards. Colenso’s acquaintance with the range was limited to the road, which was already under construction at the time of his first visit, over the Rimutaka Saddle	5- Nov 47; 17-18 Apr 49
Tarawera	A well-fenced pa	On the upper reaches of the Kawakawa River but not located	1 Jun 36
Tarawera Lake		Rotorua District	7 Jan 42
Tarawera		On the Taupo-Napier Road at the Waipunga River. Bagnall & Petersen note ( p. 242n) that the village was situated on a terrace below the site of the old hotel	25-29 Apr 46; 12-15 Feb 47; 18-21 Feb 48; 25-29 Jan, 7-10 Dec 49; 5-8 Oct 50 The 1847 dates refer to Pirapirau, another village in the Tarawera district (In Memoriam, p.34)
Taruheru		Poverty Bay. The name is preserved in a stream, a tributary of the Turanganui River. Porter (1974, p.83n) is unable to locate the village precisely	27 Jan 38
Tauanui		The Tauanui River drains into the Ruamahanga near the outlet from Lake Wairarapa	6 Nov 45; 17-18 Mar, 16 Sep 46; 15 Apr 47; 24 May, 13-14 Nov 48; 29 Mar 49; 22 Apr 51
Tauatepopo		part of Poukawa Block (Buchanan, p.181). Buchanan’s grid reference would place the village immediately north of Colin White’s Road at Te Hauke, ENE of Poukawa Lake	12-13 Mar, 9-10 Jul 52
Taupo Lake			16-18 Feb 47; 1-4 Dec 49
Taupo Plains		Roughly the Rangitaiki Plains to the east of Lake Taupo	15 Feb 47
Tauranga		Bay of Plenty	5-12 Jan 38; 14-19 Jan 42; 24 Jan 44
Tauranga Harbour		Bay of Plenty	19 Jan 42; 15-18 Oct 43; 24-27 Jan 44
Tautane (Tautaane)	The Tautane River reaches the sea a mile or so from Cape Turnagain		10 Mar 45; 9 Oct 47; 8-9 Jun, 30 Oct 48; 4 May 49; 8-9 Mar 50; 2-3 Apr 51; 23 Apr 52
Tauẁarenikau River		The river rises in the Tararua Ranges and flows between Carterton and Featherston before entering the northeast corner of Lake Wairarapa. The older spelling of Tauherenikau has been replaced by Tauwharenikau which conforms with Colenso’s spelling	18-19 Apr 49
Taẁanaẁana	One of our old sleeping places…	On the wrapping of Colenso 4832, an hepatic from dense forest, nr. Te Hawera this name appears. It has not been located but as it was the overnight stop between Te Hawera and Te Kaikokirikiri, it was possibly in the vicinity of Ekatahuna	24 Mar 52
Tauwenua (Hikurangi)		This corresponds either to Tauanui (1150 feet) or Tautoro No. 2 (1522 feet) to the west of the upper Punakitere River, and SSE of Kaikohe	5 Jun 36
Tawera	WekaruatapuProbably in the vicinity of the present Matamau	There is also a Tawera just north of Mt Bruce, in the Wairarapa	
Temateatai	Wangaruru Bay, Tamatateatai Point is a prominent peninsula on the west side of Whangaruru Harbour forming the northern side of Punaruku Estuary	The locality appears in an item 409 of an undated list	Oct 1841
Thames River This included not only the present Thames Valley but also the Firth of Thames and Hauraki Gulf			
Tihi		On the Ruamahanga River, three hours’ journey from Te Kaikokirikiri, but not located	12 Apr 48
Tirohanga		Tirohanga Stream is a southern tributary of the Kawakawa River	16 Oct 36; 15 Jan, 12 Mar 37
Titiokura		On Highway 5 from Napier to Taupo and at the saddle between Te Waka and Maungaharuru Ranges	23 Apr, 10 Dec 46; 11 Feb 47; 21 Feb 48; 9-10 Oct 50
Titirangi		Walked to the Waimate (from Paihia), by way of Titirangi, 15 miles. Not located	6 Sep 36
Toanga		In Poverty Bay and described as 3 miles from Kaupapa and 2 miles from Taruheru but not located. Porter ( p. 83n) was also unable to locate it precisely	27-29 Jan 38; 11-13 & 15 Dec 41;
Tohora	E. Coast		Appears in the draft Journal of 22 May 1841 and in the list of 30 July 1844 and intended for Tahora (q.v.)
Tohoranui		Tahoranui River drains into Taronui Bay at the south end of Takou Bay	11 Apr 39
Toiti Village		Just short of the banks of the Waipa River (Bagnall & Petersen, p.127)	26-27 Jan 42
Tokaroa	A peculiarly craggy rock	Honeycomb Rock? On the Wairarapa coast between Flat Point and the Pahaoa River	24 Nov 45
Toki Village	on Wairua River, Ẁangarei	Three hours upstream from Aotahi and possibly in the vicinity of modern Titiko, although this is now on the Mangakahia River branch of the Wairoa catchment	23 Feb 35
Tokomaru		Tokomaru Bay, East Coast	22-24 Jan 38; 2-4 Dec 41; 27 Oct 43
Tolago Bay		Tolaga Bay. North of Poverty Bay	24-25 Jan 38; 7-9 Dec 41
Tongariro	Base of	Colenso’s route lay to the east of the central volcanoes both on his southerly (1847) and northerly (1849) journeys	
Totara		Totara North is on the west shore of Whangaroa Harbour	9 Apr 39
Tourangatira		On the Kawakawa River but not located	1 Jun 36
Tuarau Village	On Wangaroa River	Not located. It was presumably on the northern Whangaruru Harbour	15 Apr 35
Tuatini		On Tokomaru Bay, East Coast	4 Dec 41; 27 Oct 43
Tuhirangi		A small village three hours’ march south from Oroi and before Cape Palliser, but exact location not established	17 Apr 51; 7 Apr 52
Tuhitarata		McMasters’ station on the Ruamahanga River close to the entrance to Lake Wairarapa	16 Sep 46; 24-25 May, 14 Nov 48; 22 Apr 51; 1 Apr 52
Tuingara		A small cove a few miles south of Paoanui Point on the coast between Cape Kidnappers and Black Head	21-22 Aug 46; 4-5 Oct 47; 27 Oct 48; 5 Mar 50; 26-27 Mar 51; 1 May 52
Tukituki River		The southernmost of the main central Hawke’s Bay rivers, flowing east then north to enter the sea at the southern end of Hawke Bay	1 Mar 45
Tukituki Village		Probably Patangata (q.v.)	28 May 47
Tukuwahine	A village about 3 miles from Te Kaikokirikiri (in an ESE direction)	Not located precisely, but was clearly close to Masterton Bagnall & Petersen ( p. 218) show it on the west bank of the Ruamahanga River and almost due east of Te Kaikokirikiri	
Tunanui		Arrowsmith’s 1850 map marks Tunanui on the east bank of the Whakatane River downstream from the Waikare Stream junction. Bagnall & Petersen ( p. 66) show it on the west bank	15-16 Jan 44
Tuparoa	Or, Te ari aẁai	South of Reporoa, East Cape, on the coast between Kouruamoa and Kaimoho Points	20-21 Jan 38
Tupuaeharuru	Plains head of Wairarapa Valley	Not located	
Turakirae	SW head of Palliser Bay		
Cape Turakirae			The name occurs in the list of July 1846 but does not appear in the Journal
Turanga		Poverty Bay	26-30 Jan 38; 10-20 Dec 41; 31 Oct 43; 6-13 Aug 45
Turangakumu	nr. Tarawera	The Turangakumi Range is crossed by the Taupo-Napier Highway	The locality appears in the list of July 1848
Turanganui River	Wairarapa	Flows northeastward to disperse into the swamp at the head of Lake Onoke	3 Apr 45; 19-23 Apr 51; 1-6 Apr 52
Tutaekuri River		The northernmost of the main rivers of central Hawke’s Bay. It rises in the Kaweka Range and reaches the sea south of Napier. In Colenso’s time it turned north to discharge into the southern end of Ahuriri Lagoon	13 Feb 52
Tutaimatai		Near the north end of Whangaruru Harbour, on the road to Russell	11 Oct 41; 21 Feb 42
Tutangi	left (Waikino) and rowed to Tutangi	Not further located	1 Jan 37
Tutukaka Harbour		About half a mile north of Ngunguru River	19 Dec 39; 24 Sep, 6 Oct 41; Oct 42
Tututarata		Tututarata was on the range between Rangitaiki and the Mangawiri Stream (Bagnall & Petersen, p.176n quoting Best). A stream still bears the name	1-2 Jan 44
Tuẁanui	by a small stream, Between Tangoio and Waikari	I can find no evidence of this …. But the coast here has been much altered by earthquake	7-8 Jan 46
Tuwatapipi Stream		Not located but described as being between Waikare and Whangaruru Inlet	14-15 Apr 35
Uawa River		The river flows north to south following the coastline of Anaura and Tolago Bays	24-25 Jan 38; 6-9 Dec 41; 28-30 Oct 43
Uawa	a small village (apparently on the west shore of Palliser Bay)		26-27 Oct 47; 1-2 May 48
Te Umukiwi	Tutaekuri		Occurs in the list of 31 January 1853 but not located and not mentioned by Buchanan
Umuroa		This was on the way from Paihia to Paroa Bay, and is possibly to be equated with Oneroa Bay, Bay of Islands	3 Jul 36
Te Umutaoroa		Some six miles north of Dannevirke on a west branch of the Mangatera Stream and close to the foothills of the Ruahine Range	14 Mar 49
Te Unuunu		Te Unu Unu Stream reaches the sea at Flat Point, Wairarapa Coast	7 Sep 46; 3 Nov 48; 15 Mar 50; 14 Apr 52
Upokohutia	A small clump of Karaka trees	Upokohutia would probably be the creek at the south end of Otahome flat, north of Waimimi (Bagnall & Petersen, p.219n)	
Te Upokokirikiri	On the eastern shore of Lake Onoke, Palliser Bay	Arrowsmith’s 1850 map shows Poko kirikiri about half way along the shore	2 Apr 45; 4-6 Mar 46; 2 Apr 49
Urewera		Although Colenso does not use this district name, it has been included as not only was Colenso the first pakeha to visit the area, but he was the first to map it, however, roughly, and the first to make botanical collections. For the present purposes the modern limits of the National Park are recognized	23 Dec 41-4 Jan 42; 19 Dec 43-16 Jan 44
Uriti		Uriti Bay is on the east side of Pomare Bay, southeast of Russell, Bay of Islands	30 May 36
Te Uruti		Uruti Point, south of the Whareama River, Wairarapa coast	14-15 Oct 47, although this is the only mention in the Journal, the name appears in the list of July 1846 and would have been passed on many occasions
Uruhou		Arrowsmith’s 1850 map shows Uruhoa on the east bank at the mouth of the Wairoa River, Hawke’s Bay. Colenso places it three miles inland	15-18 Dec 43
Wahanga	A river on the E. Coast, 20 miles N. of Mataikona	This version of Owahanga occurs in the list of 30 July 1844 The river is about nine miles north of Mataikona	
Wahapu	The residence of Mr Mair	Te Wahapu Bay opens on to Veronica Channel northwest of Okiato, Bay of Islands Colenso mentions six visits between 1836 and 1839	
Wahianoa (Wahienoa)	Wahieanoa, A spot on the hills where there was water	Between the Kaiwaka River and Titiokura, probably on the Maungaharuru Range	10-11 Feb 47; 15-16 & 20-21 Feb 48
Waiapu River		The major river reaching the coast a few miles south of East Cape	17-20 Jan 38; 26 Nov-1 Dec 41; 21-23 & 25-26 Oct 43
Waiariki		The Waiariki River joins the Waiotu River close to where Highway 1 crosses it from Hukerenui to Whangarei	19-20 Feb 36
Waiariki	Cook’s Straits	Was situated at the mouth of the Waiariki Stream which flows south a mile to the west of Tongue Point on the southern coast of the Wellington Peninsula	8-9 May 48
Waiaruhe		The Waiaruhe River flows north to join the Waitangi at Puketona, Bay of Islands	7 Sep 36
Te Waiau River		From Colenso’s account, it is clear that this name was applied to the stretch of the Waikaretaheke River between the present Waiau and the Wairoa	18 Dec 43
Waiaua		Waiaua Bay is at the northwest end of Takou Bay, north of the Bay of Islands	11 Apr 39
Wai Haruru Stream		Waiharuru Stream is a tributary of the Hinemaiaia on the eastern side of Lake Taupo	16 Feb 47
Waihi		Now known as Little Waihi at Town Point, Bay of Plenty. Arrowsmith’s 1850 map indicates Waihi further east than Colenso’s time intervals allow	
Waihirere	A beautiful waterfall	Waihirere Stream is on the coast between Mawhai Point and Anaura Bay, East Coast	4 Dec 41
Waiho River		The Waihou River, Northland, a main branch of the Hokianga	21 Mar 39
Waiho River		Te Waihou River. The Waihou River, Thames	20 Jan 42; 27 Jan 44
WaihoaWaihoa was approximately midway between Tuatini and Mawhai Point	the southern extremity of Tokomaru Bay (Bagnall & Petersen p.136n)	The Waihoa Stream reaches the sea towards the southern end of Tokomaru Bay	4 Dec 41
Waihua	A few miles S. of Poututu	The Waihua River, northern Hawke’s Bay	17 Aug 45
Te Waiiti (Te Waiti)	4 miles from Pihoi	The Te Waiiti Stream joins Limeburners Creek close to Highway 1, south of Whangarei	20-22 Feb 36; 11-12 & 14 Dec 39
Te Waiiti		Te Whaiti on the Whirinaki River, inland Bay of Plenty	4-5 Jan 42; 30 Dec 43
Te Waiiti District		The present Te Whaiiti, on the Whakatane River	
Waikaha Stream		No longer marked on the maps but appears to be the stream draining the valley southeast of Pakipaki into the old course of the Ngaruroro in the vicinity of Havelock North. The stream has no doubt been absorbed by the drainage ditch system. Buchanan cites a stream in this vicinity	15 Nov 49; 17 Jan 52
Te Waikamaka River	E. side of Ruahine	The Waikamaka River joins the Rangitikei north of the Mokai Patea ridge on the western side of the Ruahine Ranges	Colenso appears to have made an uncharacteristic slip in the reference which is in the list of 31 January 1853
Waikaraka (Te Karaka (?) On Whangarei Harbour)	about 1½ miles from Tamaterau, and at the eastern base of Onerahi Peninsula		4 Oct 41; [17 Feb 42; Te Karaka]
Waikare Lake		Lake Waikaremoana in the Urewera National Park	24-30 Dec 41; 20-28 Dec 43
Waikare	Bay of Islands	On the Waikare River at the head of the inlet of the same name on the inner south shore of the Bay of Islands	
Waikare River	Urewera	The stream flowing north from Maungapohatu to join the Whakatane Not mentioned by Colenso, but it is marked on Arrowsmith’s 1850 map and I have used it here as a reference to other place names	
Waikaretaheke River		The outfall of Lake Waikaremoana. Colenso uses the name only for the stretch from the lake to the Waiau confluence	24 Dec 41; 18-20 Dec 43
Waikari		A small village situated on a river of the same name. The Waikari River reaches Hawke’s Bay between the Mohaka and the Aropaoanui	14 Dec 43; 26-28 Jul 45; 8 Jan 46; 28-29 Jan 52
Waikato River		The outlet for Lake Taupo and the major river of the North Island. Colenso also uses the name for what is now known as the Tongariro River at the southern end of Lake Taupo. He also applies the name Horotiu River for the stretch above the Waipa junction at Ngaruawahia	21 Jan & 28 Jan-1 Feb 42; 29-30 Jan (Horotiu)-31 Jan 44; 17, 19 Feb 47 (Tongariro); 1 Dec 49 (Tongariro)
Waikino		Waikino Creek joins Waikare Inlet east of the confluence with the Kawakawa River, Bay of Islands	Twelve visits are recorded between May 1835 and July 1840
Te Waimana River (Te Waimana District)	The Waimana River is a major eastern tributary of the Whakatane, Bay of Plenty		16-18 Jan 44
